customerid,recency,frequency,monetary,cluster,segment
13301,103,4,618,0,Low Value Customers
13302,154,1,63,1,Lost Customers
13304,350,1,300,1,Lost Customers
13305,3,10,2000,0,Low Value Customers
13307,119,1,15,0,Low Value Customers
13308,22,4,1403,0,Low Value Customers
13309,6,5,1456,0,Low Value Customers
13310,8,6,1180,0,Low Value Customers
13311,3,2,598,0,Low Value Customers
13313,21,5,1555,0,Low Value Customers
13314,1,4,958,0,Low Value Customers
13316,36,5,5895,0,Low Value Customers
13317,63,9,2407,0,Low Value Customers
13318,0,3,640,0,Low Value Customers
13319,4,36,11026,0,Low Value Customers
13320,69,6,1589,0,Low Value Customers
13321,71,2,567,0,Low Value Customers
13322,16,1,199,0,Low Value Customers
13323,2,5,787,0,Low Value Customers
13324,31,12,7171,0,Low Value Customers
13325,81,1,675,0,Low Value Customers
13327,38,9,3637,0,Low Value Customers
13328,315,1,1308,1,Lost Customers
13329,31,4,837,0,Low Value Customers
13330,92,3,1140,0,Low Value Customers
13332,13,1,350,0,Low Value Customers
13334,81,3,3502,0,Low Value Customers
13336,76,1,795,0,Low Value Customers
13338,153,3,542,1,Lost Customers
13339,200,1,860,1,Lost Customers
13340,44,7,10736,0,Low Value Customers
13341,260,1,775,1,Lost Customers
13343,172,2,402,1,Lost Customers
13344,67,3,2511,0,Low Value Customers
13345,276,2,401,1,Lost Customers
13347,69,1,341,0,Low Value Customers
13348,63,1,233,0,Low Value Customers
13349,10,1,247,0,Low Value Customers
13350,15,3,1047,0,Low Value Customers
13351,65,1,373,0,Low Value Customers
13352,7,2,406,0,Low Value Customers
13354,70,1,743,0,Low Value Customers
13355,121,1,674,0,Low Value Customers
13356,79,1,768,0,Low Value Customers
13357,256,1,609,1,Lost Customers
13358,268,1,439,1,Lost Customers
13359,58,2,447,0,Low Value Customers
13362,2,5,3095,0,Low Value Customers
13363,17,2,992,0,Low Value Customers
13364,66,2,269,0,Low Value Customers
13365,8,3,2259,0,Low Value Customers
13366,49,1,56,0,Low Value Customers
13368,256,2,623,1,Lost Customers
13369,353,2,352,1,Lost Customers
13370,365,2,788,1,Lost Customers
13372,89,1,378,0,Low Value Customers
13373,60,3,3312,0,Low Value Customers
13375,80,2,784,0,Low Value Customers
13376,98,3,1019,0,Low Value Customers
13379,25,3,572,0,Low Value Customers
13381,20,7,3651,0,Low Value Customers
13382,280,1,222,1,Lost Customers
13384,30,9,4181,0,Low Value Customers
13385,329,1,534,1,Lost Customers
13388,120,3,727,0,Low Value Customers
13389,10,3,797,0,Low Value Customers
13390,74,1,544,0,Low Value Customers
13391,203,1,59,1,Lost Customers
13394,1,10,2727,0,Low Value Customers
13395,184,1,307,1,Lost Customers
13396,21,4,1396,0,Low Value Customers
13397,72,6,1549,0,Low Value Customers
13398,191,1,457,1,Lost Customers
13402,126,2,621,0,Low Value Customers
13403,17,1,75,0,Low Value Customers
13404,0,2,252,0,Low Value Customers
13405,73,3,572,0,Low Value Customers
13408,1,81,28746,2,Big Spenders
13410,8,7,1017,0,Low Value Customers
13411,106,1,213,0,Low Value Customers
13414,133,3,1390,0,Low Value Customers
13416,43,2,712,0,Low Value Customers
13417,4,2,640,0,Low Value Customers
13418,11,23,6409,0,Low Value Customers
13419,63,1,221,0,Low Value Customers
13420,134,4,179,0,Low Value Customers
13421,39,3,1835,0,Low Value Customers
13422,50,2,2651,0,Low Value Customers
13425,107,3,1624,0,Low Value Customers
13426,0,12,3731,0,Low Value Customers
13427,18,3,582,0,Low Value Customers
13428,9,1,201,0,Low Value Customers
13429,10,4,1006,0,Low Value Customers
13430,18,4,710,0,Low Value Customers
13431,66,2,1269,0,Low Value Customers
13434,73,2,534,0,Low Value Customers
13435,4,9,3825,0,Low Value Customers
13436,1,1,196,0,Low Value Customers
13437,13,7,3408,0,Low Value Customers
13439,254,1,283,1,Lost Customers
13441,91,1,296,0,Low Value Customers
13447,22,4,1154,0,Low Value Customers
13448,16,10,3608,0,Low Value Customers
13449,23,1,291,0,Low Value Customers
13450,26,6,2043,0,Low Value Customers
13451,25,6,2957,0,Low Value Customers
13452,258,2,590,1,Lost Customers
13453,165,2,356,1,Lost Customers
13455,24,4,1109,0,Low Value Customers
13456,17,7,1795,0,Low Value Customers
13458,6,22,9755,0,Low Value Customers
13460,28,2,183,0,Low Value Customers
13461,38,3,1445,0,Low Value Customers
13462,182,2,159,1,Lost Customers
13464,57,1,674,0,Low Value Customers
13466,99,2,317,0,Low Value Customers
13467,10,2,1071,0,Low Value Customers
13468,1,41,5753,0,Low Value Customers
13470,98,2,165,0,Low Value Customers
13471,0,4,2501,0,Low Value Customers
13473,60,3,427,0,Low Value Customers
13474,235,1,226,1,Lost Customers
13475,190,4,1431,1,Lost Customers
13476,178,4,1384,1,Lost Customers
13477,37,8,1467,0,Low Value Customers
13479,197,3,310,1,Lost Customers
13481,45,8,1832,0,Low Value Customers
13482,231,1,184,1,Lost Customers
13483,65,1,140,0,Low Value Customers
13484,240,1,313,1,Lost Customers
13485,232,1,454,1,Lost Customers
13486,77,3,1122,0,Low Value Customers
13487,57,3,575,0,Low Value Customers
13488,16,17,9026,0,Low Value Customers
13489,104,4,449,0,Low Value Customers
13491,51,10,1215,0,Low Value Customers
13492,135,3,1269,0,Low Value Customers
13493,274,2,618,1,Lost Customers
13494,311,1,316,1,Lost Customers
13495,7,6,2099,0,Low Value Customers
13496,10,3,688,0,Low Value Customers
13497,282,3,375,1,Lost Customers
13499,17,7,1171,0,Low Value Customers
13500,22,4,1196,0,Low Value Customers
13501,242,2,1370,1,Lost Customers
13502,16,3,292,0,Low Value Customers
13503,70,1,216,0,Low Value Customers
13504,63,1,295,0,Low Value Customers
13505,67,8,4504,0,Low Value Customers
13506,311,3,464,1,Lost Customers
13507,2,4,2479,0,Low Value Customers
13508,243,1,110,1,Lost Customers
13509,8,7,979,0,Low Value Customers
13510,0,5,1797,0,Low Value Customers
13512,260,1,251,1,Lost Customers
13513,126,1,205,0,Low Value Customers
13514,73,1,152,0,Low Value Customers
13515,72,4,891,0,Low Value Customers
13516,20,3,1389,0,Low Value Customers
13517,59,5,2147,0,Low Value Customers
13518,85,1,627,0,Low Value Customers
13519,49,2,134,0,Low Value Customers
13520,58,8,3760,0,Low Value Customers
13521,0,3,1071,0,Low Value Customers
13522,29,1,125,0,Low Value Customers
13523,32,6,4174,0,Low Value Customers
13524,40,5,680,0,Low Value Customers
13525,14,2,628,0,Low Value Customers
13527,33,8,2266,0,Low Value Customers
13529,78,2,307,0,Low Value Customers
13531,204,2,483,1,Lost Customers
13532,33,1,210,0,Low Value Customers
13533,182,3,269,1,Lost Customers
13534,1,43,6127,0,Low Value Customers
13536,0,7,3444,0,Low Value Customers
13538,42,7,1280,0,Low Value Customers
13539,85,4,656,0,Low Value Customers
13544,39,2,276,0,Low Value Customers
13546,11,3,621,0,Low Value Customers
13548,95,2,678,0,Low Value Customers
13549,25,8,920,0,Low Value Customers
13551,318,1,91,1,Lost Customers
13552,65,16,3940,0,Low Value Customers
13555,73,4,4098,0,Low Value Customers
13557,27,2,584,0,Low Value Customers
13558,5,4,594,0,Low Value Customers
13560,6,1,171,0,Low Value Customers
13561,215,1,141,1,Lost Customers
13562,81,3,1799,0,Low Value Customers
13563,83,2,777,0,Low Value Customers
13564,143,5,2825,0,Low Value Customers
13565,18,2,240,0,Low Value Customers
13566,40,2,856,0,Low Value Customers
13568,172,1,187,1,Lost Customers
13569,16,2,338,0,Low Value Customers
13570,242,1,239,1,Lost Customers
13571,12,12,2088,0,Low Value Customers
13572,205,1,1384,1,Lost Customers
13573,49,2,290,0,Low Value Customers
13575,22,5,732,0,Low Value Customers
13576,9,20,6731,0,Low Value Customers
13577,24,5,1716,0,Low Value Customers
13579,14,2,467,0,Low Value Customers
13581,308,1,118,1,Lost Customers
13583,155,1,781,1,Lost Customers
13584,306,1,142,1,Lost Customers
13587,31,3,1077,0,Low Value Customers
13588,15,13,2512,0,Low Value Customers
13589,14,2,379,0,Low Value Customers
13590,10,7,1987,0,Low Value Customers
13591,64,3,1117,0,Low Value Customers
13592,35,4,247,0,Low Value Customers
13593,107,6,2058,0,Low Value Customers
13594,52,1,396,0,Low Value Customers
13596,5,2,664,0,Low Value Customers
13598,46,2,172,0,Low Value Customers
13599,0,33,5272,0,Low Value Customers
13600,311,1,219,1,Lost Customers
13601,44,2,693,0,Low Value Customers
13602,64,1,428,0,Low Value Customers
13603,25,1,164,0,Low Value Customers
13606,28,3,276,0,Low Value Customers
13607,39,1,675,0,Low Value Customers
13610,11,9,1098,0,Low Value Customers
13611,88,4,1168,0,Low Value Customers
13614,23,4,1585,0,Low Value Customers
13615,312,2,435,1,Lost Customers
13617,39,3,544,0,Low Value Customers
13618,173,1,177,1,Lost Customers
13621,116,1,213,0,Low Value Customers
13623,30,7,803,0,Low Value Customers
13626,252,1,257,1,Lost Customers
13627,58,7,1652,0,Low Value Customers
13629,22,11,7792,0,Low Value Customers
13630,4,11,2067,0,Low Value Customers
13631,99,12,3119,0,Low Value Customers
13632,24,6,2123,0,Low Value Customers
13634,32,5,1547,0,Low Value Customers
13635,67,1,1071,0,Low Value Customers
13636,36,6,956,0,Low Value Customers
13637,51,3,804,0,Low Value Customers
13638,15,1,122,0,Low Value Customers
13639,73,1,1033,0,Low Value Customers
13642,215,1,312,1,Lost Customers
13643,30,3,519,0,Low Value Customers
13644,8,5,2651,0,Low Value Customers
13645,119,1,252,0,Low Value Customers
13647,9,5,1656,0,Low Value Customers
13649,256,2,346,1,Lost Customers
13650,16,7,1863,0,Low Value Customers
13651,34,2,94,0,Low Value Customers
13652,45,3,1095,0,Low Value Customers
13654,42,6,2707,0,Low Value Customers
13655,113,2,932,0,Low Value Customers
13656,164,2,379,1,Lost Customers
13657,10,2,382,0,Low Value Customers
13658,9,7,2856,0,Low Value Customers
13659,196,3,1585,1,Lost Customers
13662,85,7,899,0,Low Value Customers
13663,178,1,189,1,Lost Customers
13666,59,3,84,0,Low Value Customers
13667,148,1,299,1,Lost Customers
13668,2,29,6457,0,Low Value Customers
13669,50,2,218,0,Low Value Customers
13670,74,1,349,0,Low Value Customers
13672,300,6,444,1,Lost Customers
13673,18,2,387,0,Low Value Customers
13675,150,2,486,1,Lost Customers
13678,151,1,232,1,Lost Customers
13680,0,5,5239,0,Low Value Customers
13681,17,4,827,0,Low Value Customers
13682,186,1,59,1,Lost Customers
13684,285,2,68,1,Lost Customers
13685,2,7,3119,0,Low Value Customers
13686,182,1,72,1,Lost Customers
13689,62,1,910,0,Low Value Customers
13690,58,1,172,0,Low Value Customers
13692,24,5,1509,0,Low Value Customers
13693,324,2,32,1,Lost Customers
13694,3,60,67388,2,Big Spenders
13695,30,15,2504,0,Low Value Customers
13697,38,1,151,0,Low Value Customers
13699,154,1,308,1,Lost Customers
13700,25,10,2248,0,Low Value Customers
13703,317,1,99,1,Lost Customers
13704,4,10,2320,0,Low Value Customers
13705,7,3,711,0,Low Value Customers
13706,302,1,330,1,Lost Customers
13707,266,2,806,1,Lost Customers
13708,270,1,285,1,Lost Customers
13709,3,17,6386,0,Low Value Customers
13710,31,1,180,0,Low Value Customers
13711,218,2,252,1,Lost Customers
13712,246,1,228,1,Lost Customers
13715,280,8,1102,1,Lost Customers
13716,268,1,138,1,Lost Customers
13717,31,7,1457,0,Low Value Customers
13718,245,2,306,1,Lost Customers
13719,14,5,1041,0,Low Value Customers
13720,116,4,799,0,Low Value Customers
13721,35,1,524,0,Low Value Customers
13722,119,4,2381,0,Low Value Customers
13723,216,1,199,1,Lost Customers
13725,49,11,2151,0,Low Value Customers
13726,38,2,1079,0,Low Value Customers
13727,28,2,333,0,Low Value Customers
13728,36,6,1016,0,Low Value Customers
13730,135,2,752,0,Low Value Customers
13731,218,2,610,1,Lost Customers
13732,27,1,491,0,Low Value Customers
13735,24,8,3002,0,Low Value Customers
13736,4,3,737,0,Low Value Customers
13737,199,1,339,1,Lost Customers
13739,17,1,216,0,Low Value Customers
13740,240,1,350,1,Lost Customers
13741,71,4,670,0,Low Value Customers
13742,16,14,3136,0,Low Value Customers
13743,2,8,1343,0,Low Value Customers
13744,94,2,1080,0,Low Value Customers
13745,150,2,308,1,Lost Customers
13747,373,1,79,1,Lost Customers
13748,95,5,948,0,Low Value Customers
13750,53,5,1647,0,Low Value Customers
13751,287,1,296,1,Lost Customers
13752,123,6,1175,0,Low Value Customers
13753,287,1,741,1,Lost Customers
13754,151,2,282,1,Lost Customers
13755,3,10,2114,0,Low Value Customers
13756,1,15,5233,0,Low Value Customers
13758,11,7,3190,0,Low Value Customers
13759,32,2,659,0,Low Value Customers
13760,53,2,286,0,Low Value Customers
13761,49,2,1070,0,Low Value Customers
13762,203,2,613,1,Lost Customers
13763,62,3,1740,0,Low Value Customers
13764,70,3,1519,0,Low Value Customers
13767,1,52,17495,0,Low Value Customers
13769,1,16,2821,0,Low Value Customers
13771,63,5,2637,0,Low Value Customers
13772,33,3,1122,0,Low Value Customers
13774,81,1,345,0,Low Value Customers
13777,0,41,26205,0,Low Value Customers
13778,102,1,178,0,Low Value Customers
13780,6,2,360,0,Low Value Customers
13781,250,1,127,1,Lost Customers
13782,12,6,908,0,Low Value Customers
13784,9,11,2462,0,Low Value Customers
13786,366,1,230,1,Lost Customers
13787,75,2,309,0,Low Value Customers
13790,3,1,348,0,Low Value Customers
13791,42,3,1984,0,Low Value Customers
13792,65,2,195,0,Low Value Customers
13798,0,63,37954,2,Big Spenders
13799,116,2,688,0,Low Value Customers
13800,309,1,558,1,Lost Customers
13801,66,1,324,0,Low Value Customers
13802,137,6,5292,0,Low Value Customers
13803,254,1,277,1,Lost Customers
13804,30,7,2588,0,Low Value Customers
13805,51,2,924,0,Low Value Customers
13806,63,1,256,0,Low Value Customers
13807,366,1,112,1,Lost Customers
13808,5,5,1747,0,Low Value Customers
13809,304,1,155,1,Lost Customers
13810,28,4,2098,0,Low Value Customers
13811,183,4,1037,1,Lost Customers
13812,41,3,539,0,Low Value Customers
13813,39,5,1380,0,Low Value Customers
13814,55,3,1596,0,Low Value Customers
13815,21,5,4039,0,Low Value Customers
13816,23,4,588,0,Low Value Customers
13817,28,2,382,0,Low Value Customers
13819,301,3,1140,1,Lost Customers
13821,144,2,385,1,Lost Customers
13822,5,2,632,0,Low Value Customers
13823,18,2,957,0,Low Value Customers
13824,32,5,1698,0,Low Value Customers
13826,157,2,204,1,Lost Customers
13827,57,3,409,0,Low Value Customers
13828,21,1,209,0,Low Value Customers
13829,358,1,102,1,Lost Customers
13831,15,6,2198,0,Low Value Customers
13832,17,2,63,0,Low Value Customers
13833,158,1,383,1,Lost Customers
13835,24,4,834,0,Low Value Customers
13837,211,2,266,1,Lost Customers
13838,5,4,674,0,Low Value Customers
13841,252,1,85,1,Lost Customers
13842,58,9,3385,0,Low Value Customers
13844,10,1,361,0,Low Value Customers
13845,64,1,312,0,Low Value Customers
13846,24,4,882,0,Low Value Customers
13848,91,3,1255,0,Low Value Customers
13849,51,2,1537,0,Low Value Customers
13850,87,2,1604,0,Low Value Customers
13851,95,3,2651,0,Low Value Customers
13853,8,2,1123,0,Low Value Customers
13854,8,29,8194,0,Low Value Customers
13856,168,5,413,1,Lost Customers
13858,56,1,216,0,Low Value Customers
13859,325,1,201,1,Lost Customers
13860,0,6,1251,0,Low Value Customers
13862,17,10,2231,0,Low Value Customers
13863,244,2,312,1,Lost Customers
13865,57,4,501,0,Low Value Customers
13866,73,1,145,0,Low Value Customers
13867,30,3,1005,0,Low Value Customers
13868,6,2,3192,0,Low Value Customers
13869,122,4,3083,0,Low Value Customers
13870,1,10,2790,0,Low Value Customers
13871,22,14,6416,0,Low Value Customers
13873,119,4,397,0,Low Value Customers
13874,357,1,540,1,Lost Customers
13875,53,5,1786,0,Low Value Customers
13876,63,1,122,0,Low Value Customers
13877,85,1,117,0,Low Value Customers
13878,54,1,1271,0,Low Value Customers
13880,20,13,3219,0,Low Value Customers
13881,3,22,17329,0,Low Value Customers
13882,2,6,1250,0,Low Value Customers
13883,0,9,2810,0,Low Value Customers
13884,6,6,793,0,Low Value Customers
13885,188,2,506,1,Lost Customers
13886,70,1,243,0,Low Value Customers
13887,203,1,349,1,Lost Customers
13888,119,2,595,0,Low Value Customers
13889,92,1,416,0,Low Value Customers
13890,0,14,1906,0,Low Value Customers
13892,26,4,632,0,Low Value Customers
13893,297,1,821,1,Lost Customers
13894,21,5,593,0,Low Value Customers
13895,20,5,2598,0,Low Value Customers
13897,49,1,311,0,Low Value Customers
13898,325,1,155,1,Lost Customers
13899,15,2,388,0,Low Value Customers
13900,182,3,740,1,Lost Customers
13901,71,5,2867,0,Low Value Customers
13904,36,2,332,0,Low Value Customers
13908,79,5,2392,0,Low Value Customers
13911,56,9,2580,0,Low Value Customers
13914,3,3,638,0,Low Value Customers
13917,49,2,272,0,Low Value Customers
13918,49,2,1212,0,Low Value Customers
13919,52,3,419,0,Low Value Customers
13922,351,1,172,1,Lost Customers
13923,53,1,351,0,Low Value Customers
13924,1,11,1995,0,Low Value Customers
13925,35,6,739,0,Low Value Customers
13926,22,1,223,0,Low Value Customers
13927,74,1,348,0,Low Value Customers
13928,10,4,464,0,Low Value Customers
13929,168,3,882,1,Lost Customers
13930,57,2,337,0,Low Value Customers
13931,85,3,1244,0,Low Value Customers
13932,294,1,307,1,Lost Customers
13933,108,2,608,0,Low Value Customers
13934,263,1,922,1,Lost Customers
13936,170,2,391,1,Lost Customers
13937,168,1,158,1,Lost Customers
13938,34,1,71,0,Low Value Customers
13939,22,4,580,0,Low Value Customers
13940,16,4,839,0,Low Value Customers
13941,21,7,5313,0,Low Value Customers
13946,78,3,561,0,Low Value Customers
13947,64,1,90,0,Low Value Customers
13948,360,1,102,1,Lost Customers
13949,2,6,2427,0,Low Value Customers
13950,10,5,761,0,Low Value Customers
13951,175,3,674,1,Lost Customers
13952,210,3,3256,1,Lost Customers
13953,6,7,3515,0,Low Value Customers
13954,1,3,501,0,Low Value Customers
13955,153,2,322,1,Lost Customers
13956,4,5,1019,0,Low Value Customers
13958,371,1,102,1,Lost Customers
13959,78,3,594,0,Low Value Customers
13960,20,2,230,0,Low Value Customers
13962,21,2,169,0,Low Value Customers
13963,307,4,664,1,Lost Customers
13967,145,1,80,1,Lost Customers
13969,6,20,9091,0,Low Value Customers
13971,8,11,2814,0,Low Value Customers
13972,70,2,190,0,Low Value Customers
13973,286,1,264,1,Lost Customers
13974,48,1,413,0,Low Value Customers
13975,30,7,2484,0,Low Value Customers
13976,206,1,357,1,Lost Customers
13978,14,2,196,0,Low Value Customers
13979,72,1,869,0,Low Value Customers
13980,59,1,200,0,Low Value Customers
13982,38,5,1882,0,Low Value Customers
13983,29,13,2616,0,Low Value Customers
13984,26,6,1352,0,Low Value Customers
13985,3,16,7095,0,Low Value Customers
13986,16,1,320,0,Low Value Customers
13988,19,9,4197,0,Low Value Customers
13989,65,2,1266,0,Low Value Customers
13990,212,1,311,1,Lost Customers
13991,11,7,858,0,Low Value Customers
13992,29,1,76,0,Low Value Customers
13993,31,12,3523,0,Low Value Customers
13994,3,6,2274,0,Low Value Customers
13995,14,6,1403,0,Low Value Customers
13999,9,15,3938,0,Low Value Customers
14000,205,2,637,1,Lost Customers
14001,45,4,2055,0,Low Value Customers
14002,133,2,529,0,Low Value Customers
14004,42,7,4582,0,Low Value Customers
14005,9,5,2874,0,Low Value Customers
14006,115,3,962,0,Low Value Customers
14009,197,3,705,1,Lost Customers
14012,277,1,328,1,Lost Customers
14013,109,3,473,0,Low Value Customers
14014,76,1,505,0,Low Value Customers
14015,52,1,917,0,Low Value Customers
14016,153,5,4353,1,Lost Customers
14019,46,4,1444,0,Low Value Customers
14020,16,2,642,0,Low Value Customers
14021,154,3,631,1,Lost Customers
14022,224,1,440,1,Lost Customers
14023,6,2,584,0,Low Value Customers
14024,121,2,327,0,Low Value Customers
14027,60,1,104,0,Low Value Customers
14029,62,2,467,0,Low Value Customers
14030,17,8,2358,0,Low Value Customers
14031,6,23,19939,0,Low Value Customers
14032,1,18,3021,0,Low Value Customers
14034,21,4,788,0,Low Value Customers
14035,28,5,1428,0,Low Value Customers
14036,284,1,626,1,Lost Customers
14037,175,2,147,1,Lost Customers
14038,77,4,1566,0,Low Value Customers
14039,32,1,152,0,Low Value Customers
14040,40,15,3633,0,Low Value Customers
14041,265,1,141,1,Lost Customers
14044,26,4,646,0,Low Value Customers
14045,108,4,1659,0,Low Value Customers
14046,283,1,154,1,Lost Customers
14047,8,7,1327,0,Low Value Customers
14048,276,2,444,1,Lost Customers
14049,16,6,5621,0,Low Value Customers
14050,31,2,746,0,Low Value Customers
14051,0,26,15743,0,Low Value Customers
14052,19,1,225,0,Low Value Customers
14053,123,2,260,0,Low Value Customers
14054,64,1,92,0,Low Value Customers
14055,105,1,725,0,Low Value Customers
14056,0,29,8242,0,Low Value Customers
14057,23,18,6282,0,Low Value Customers
14059,266,1,183,1,Lost Customers
14060,4,20,6145,0,Low Value Customers
14062,9,12,10464,0,Low Value Customers
14064,28,7,1499,0,Low Value Customers
14066,266,1,152,1,Lost Customers
14067,63,2,374,0,Low Value Customers
14068,319,1,265,1,Lost Customers
14071,3,9,1568,0,Low Value Customers
14073,20,2,162,0,Low Value Customers
14075,4,3,942,0,Low Value Customers
14076,128,1,118,0,Low Value Customers
14077,40,5,499,0,Low Value Customers
14078,101,6,1049,0,Low Value Customers
14079,124,1,375,0,Low Value Customers
14080,32,1,45,0,Low Value Customers
14081,266,4,951,1,Lost Customers
14082,364,1,182,1,Lost Customers
14083,3,9,1002,0,Low Value Customers
14085,1,19,4434,0,Low Value Customers
14087,2,2,204,0,Low Value Customers
14088,9,14,50568,0,Low Value Customers
14089,56,1,158,0,Low Value Customers
14090,324,1,76,1,Lost Customers
14092,7,17,4090,0,Low Value Customers
14093,11,1,433,0,Low Value Customers
14096,3,34,73208,2,Big Spenders
14098,36,1,147,0,Low Value Customers
14099,15,12,3115,0,Low Value Customers
14100,137,1,191,1,Lost Customers
14101,73,6,5976,0,Low Value Customers
14102,4,8,1151,0,Low Value Customers
14104,154,2,216,1,Lost Customers
14105,84,2,1272,0,Low Value Customers
14107,51,8,2717,0,Low Value Customers
14108,30,3,601,0,Low Value Customers
14109,22,2,208,0,Low Value Customers
14110,3,13,5696,0,Low Value Customers
14111,13,5,697,0,Low Value Customers
14112,22,12,3056,0,Low Value Customers
14113,3,8,2302,0,Low Value Customers
14114,273,2,386,1,Lost Customers
14116,19,5,1382,0,Low Value Customers
14117,143,1,90,1,Lost Customers
14119,353,1,19,1,Lost Customers
14121,3,6,2820,0,Low Value Customers
14124,83,1,419,0,Low Value Customers
14125,10,3,2720,0,Low Value Customers
14126,7,4,768,0,Low Value Customers
14127,122,3,709,0,Low Value Customers
14128,60,2,637,0,Low Value Customers
14129,1,5,1123,0,Low Value Customers
14130,318,1,480,1,Lost Customers
14132,1,12,3591,0,Low Value Customers
14133,129,5,620,0,Low Value Customers
14135,1,15,4690,0,Low Value Customers
14138,1,2,965,0,Low Value Customers
14139,45,1,415,0,Low Value Customers
14140,3,3,950,0,Low Value Customers
14141,2,6,951,0,Low Value Customers
14142,372,1,311,1,Lost Customers
14143,133,1,115,0,Low Value Customers
14145,46,5,4336,0,Low Value Customers
14146,8,6,5432,0,Low Value Customers
14147,48,3,498,0,Low Value Customers
14148,233,1,157,1,Lost Customers
14149,212,3,633,1,Lost Customers
14150,35,2,658,0,Low Value Customers
14152,74,3,631,0,Low Value Customers
14154,238,2,1345,1,Lost Customers
14155,265,1,118,1,Lost Customers
14156,9,66,121205,4,Loyal Customers
14157,19,3,457,0,Low Value Customers
14158,39,1,507,0,Low Value Customers
14159,19,14,4645,0,Low Value Customers
14161,215,3,1097,1,Lost Customers
14162,173,2,289,1,Lost Customers
14163,86,4,2445,0,Low Value Customers
14164,70,2,1631,0,Low Value Customers
14165,275,1,120,1,Lost Customers
14167,38,4,562,0,Low Value Customers
14171,97,1,363,0,Low Value Customers
14173,10,4,450,0,Low Value Customers
14174,32,1,134,0,Low Value Customers
14175,50,7,3336,0,Low Value Customers
14176,296,5,579,1,Lost Customers
14177,84,5,554,0,Low Value Customers
14178,8,7,1600,0,Low Value Customers
14179,40,2,701,0,Low Value Customers
14180,10,31,4856,0,Low Value Customers
14184,66,1,452,0,Low Value Customers
14185,330,1,197,1,Lost Customers
14188,8,10,2089,0,Low Value Customers
14189,1,24,4703,0,Low Value Customers
14191,1,14,4709,0,Low Value Customers
14193,67,2,853,0,Low Value Customers
14194,4,32,11482,0,Low Value Customers
14195,201,3,1061,1,Lost Customers
14196,106,1,335,0,Low Value Customers
14198,3,7,739,0,Low Value Customers
14199,217,1,185,1,Lost Customers
14201,59,9,806,0,Low Value Customers
14204,1,1,150,0,Low Value Customers
14205,10,4,714,0,Low Value Customers
14206,238,2,348,1,Lost Customers
14208,94,1,151,0,Low Value Customers
14209,10,7,2079,0,Low Value Customers
14210,90,7,1910,0,Low Value Customers
14211,52,13,2273,0,Low Value Customers
14212,89,1,1070,0,Low Value Customers
14213,371,1,1192,1,Lost Customers
14214,30,7,1008,0,Low Value Customers
14215,11,7,1801,0,Low Value Customers
14216,2,4,1839,0,Low Value Customers
14217,1,24,2084,0,Low Value Customers
14218,42,1,169,0,Low Value Customers
14219,3,1,89,0,Low Value Customers
14220,246,2,632,1,Lost Customers
14221,41,10,3437,0,Low Value Customers
14222,176,1,683,1,Lost Customers
14223,91,4,1007,0,Low Value Customers
14224,109,4,1009,0,Low Value Customers
14226,28,7,2245,0,Low Value Customers
14227,25,15,3386,0,Low Value Customers
14229,51,5,1643,0,Low Value Customers
14231,178,5,1029,1,Lost Customers
14232,31,8,2052,0,Low Value Customers
14233,43,5,1477,0,Low Value Customers
14234,21,4,754,0,Low Value Customers
14235,9,6,3195,0,Low Value Customers
14236,80,2,490,0,Low Value Customers
14237,372,1,161,1,Lost Customers
14238,325,1,146,1,Lost Customers
14239,42,13,2438,0,Low Value Customers
14240,29,2,890,0,Low Value Customers
14241,183,1,213,1,Lost Customers
14242,234,2,280,1,Lost Customers
14243,8,14,2641,0,Low Value Customers
14245,175,5,1709,1,Lost Customers
14246,110,3,1474,0,Low Value Customers
14247,277,1,136,1,Lost Customers
14248,317,1,302,1,Lost Customers
14250,6,3,1904,0,Low Value Customers
14251,1,5,2879,0,Low Value Customers
14256,253,3,1003,1,Lost Customers
14257,50,6,3112,0,Low Value Customers
14258,8,10,12689,0,Low Value Customers
14259,141,1,120,1,Lost Customers
14261,50,2,1163,0,Low Value Customers
14262,7,8,2618,0,Low Value Customers
14264,154,3,348,1,Lost Customers
14265,108,2,530,0,Low Value Customers
14267,150,7,1753,1,Lost Customers
14270,331,1,492,1,Lost Customers
14271,225,1,112,1,Lost Customers
14272,73,2,437,0,Low Value Customers
14273,50,4,559,0,Low Value Customers
14276,87,5,1220,0,Low Value Customers
14277,14,4,4447,0,Low Value Customers
14280,196,1,134,1,Lost Customers
14282,2,15,3701,0,Low Value Customers
14284,30,3,612,0,Low Value Customers
14285,20,4,1910,0,Low Value Customers
14286,23,5,4661,0,Low Value Customers
14287,7,4,202,0,Low Value Customers
14288,211,2,439,1,Lost Customers
14289,8,6,911,0,Low Value Customers
14290,10,6,2321,0,Low Value Customers
14291,1,12,3893,0,Low Value Customers
14292,7,14,4924,0,Low Value Customers
14293,2,4,1046,0,Low Value Customers
14295,39,2,177,0,Low Value Customers
14297,17,6,1326,0,Low Value Customers
14298,2,45,52192,2,Big Spenders
14299,7,18,5075,0,Low Value Customers
14300,18,1,43,0,Low Value Customers
14301,107,2,648,0,Low Value Customers
14304,222,2,569,1,Lost Customers
14305,70,5,1914,0,Low Value Customers
14306,50,3,2103,0,Low Value Customers
14307,88,6,2995,0,Low Value Customers
